Time,Data
1.416,-0.1440664821813527
1.42,-0.12193215220562427
1.424,-0.13978490660940684
1.428,-0.15262493170722774
1.432,-0.13045241250632472
1.436,-0.1482675326177229
1.44,-0.09907047416900029
1.444,-0.1468614177187861
1.448,-0.15164054217303352
1.452,-0.20040802470310523
1.456,-0.16716404066571894
1.46,-0.16290876352477585
1.464,-0.15564236477513324
1.468,-0.15836501386833404
1.472,-0.16907687814034844
1.476,-0.15577812274135058
1.48,-0.18946891056756843
1.484,-0.18214940219524187
1.488,-0.1748197558167151
1.492,-0.15748012717870022
1.496,-0.12413066952273648
1.5,-0.15477153352787643
1.504,-0.12240286725562816
1.508,-0.1350248160971728
1.512,-0.1576375227228919
1.516,-0.17024112703422153
1.52,-0.1508357661178574
1.524,-0.16042157420233652
1.528,-0.14599868261700874
1.532,-0.14856721975342696
1.536,-0.12512731102916289
1.54,-0.1256790788540728
1.544,-0.15822264259903107
1.548,-0.138758118567136
1.552,-0.14128561996741057
1.556,-0.1558052568910055
1.56,-0.15331713628991564
1.564,-0.15882136195822136
1.568,-0.1313180345158618
1.572,-0.1538072513949437
1.576,-0.18328910682859897
1.58,-0.20076369184238824
1.584,-0.18523109424825587
1.588,-0.2256913986410433
1.592,-0.19814468639755098
1.596,-0.19559103567815855
1.6,-0.15503052143099633
1.604,-0.15246321539866398
1.608,-0.1548891861274967
1.612,-0.15730849897936813
1.616,-0.17472121614602562
1.62,-0.18712739666595063
1.624,-0.18952709644373325
1.628,-0.15692036827194802
1.632,-0.15230726185552632
1.636,-0.13968782383860262
1.64,-0.11006209783382866
1.644,-0.1514301244541349
1.648,-0.14679194134692342
1.652,-0.1641475832306778
1.656,-0.1164970819339608
1.66,-0.1118404664367957
1.664,-0.11117776291439097
1.668,-0.04050899478320191
1.672,-0.025834182749294082
1.676,-0.010153344858988124
1.68,0.034533503448239404
1.684,0.027226349284629858
1.688,0.017925182256821232
1.692,0.06262999440634717
1.696,0.09034078014801025
1.7,0.1260575362061436
1.704,0.1287802615487973
1.708,0.1365089573198895
1.712,0.11924362676935142
1.716,0.1009842751813029
1.72,0.07973090980029786
1.724,0.10148353975567802
1.728,0.07524217598406817
1.732,0.13300683115006215
1.736,0.13577751956513268
1.74,0.06555425710480901
1.744,0.0813370611241672
1.748,0.0491259503716777
1.752,0.003920944901445295
1.756,0.02672206598390138
1.76,0.00952933601498419
1.764,0.004342778423854702
1.768,0.05316241757920131
1.772,0.04098827869417851
1.776,0.0408203877300275
1.78,0.028658771298431588
1.784,-0.0034965434373435745
1.788,0.004354471137523619
1.792,0.0022118429882750394
1.796,-0.0029243996716242795
1.8,0.037945771516311295
1.804,0.045822384951432045
1.808,0.030705468968902215
1.812,0.021595051733800517
1.816,0.016491161134440966
1.82,0.014393824674955381
1.824,0.022303069367205417
1.828,0.02021892162207496
1.832,0.033141407140201924
1.836,0.03407055080220668
1.84,0.054006376558478876
1.844,0.03694890731857121
1.848,0.02789816484027308
1.852,-0.014145830381589952
1.856,0.003816940773436398
1.86,-0.00821350406012402
1.864,0.046762851154677244
1.868,0.04274602074553125
1.872,0.01073601721922493
1.876,0.011732851150081934
1.88,0.026736531068554285
1.884,0.007747063350023746
1.888,0.01576445210387598
1.892,0.018788699062903307
1.896,0.018819803473101453
1.9,0.016857761983918963
1.904,0.002902568539015698
1.908,0.012954214267597084
1.912,-0.0469873126236202
1.916,-0.028922026957749692
1.92,-0.022849946694323484
1.924,-0.002771093035070402
1.928,-0.046685490528820435
1.932,-0.026593167175481366
1.936,-0.00349415452902275
1.94,0.017611512200583608
1.944,-0.02227620595346594
1.948,-0.021157351814478358
1.952,-0.05503197216070856
1.956,-0.07190011782252864
1.96,-0.04376184377826527
1.964,-0.03361720924863947
1.968,-0.027466277789765448
1.972,-0.0143091173846448
1.976,-0.04114580053310715
1.98,-0.030976404340137674
1.984,-0.027801010602543877
1.988,-0.08761970589390412
1.992,-0.06143258164774801
1.996,-0.053239734238918014
2.0,-0.05304126506305811
2.004,-0.06983728061418497
2.008,-0.05662789256028492
2.012,-0.06541321781689642
2.016,-0.10419337861862238
2.02,-0.10596850258853174
2.024,-0.10273872280539859
2.028,-0.09450417786874085
2.032,-0.07926501196160447
